,time,avg_temp,min_temp,max_temp,precipitation,location,precipitation_rounded
281,21-04-1991,25.2,20.9,33.5,7.1,Bangalore,10.0
282,22-04-1991,26.9,20.7,34.4,0.0,Bangalore,0.0
283,23-04-1991,29.2,23.2,34.3,0.3,Bangalore,0.0
284,24-04-1991,28.7,22.7,34.1,0.0,Bangalore,0.0
285,27-04-1991,27.7,22.4,34.2,1.3,Bangalore,0.0
286,28-04-1991,27.2,22.1,33.6,0.0,Bangalore,0.0
287,30-04-1991,27.9,22.0,34.6,0.0,Bangalore,0.0
288,01-05-1991,26.6,22.1,32.6,0.0,Bangalore,0.0
289,02-05-1991,29.4,22.5,36.6,0.0,Bangalore,0.0
290,04-05-1991,23.9,21.5,32.1,18.8,Bangalore,20.0
291,05-05-1991,26.7,20.9,33.2,1.3,Bangalore,0.0
292,07-05-1991,28.3,22.5,34.6,12.2,Bangalore,10.0
293,10-05-1991,26.9,19.8,32.2,91.9,Bangalore,90.0
294,14-05-1991,27.2,23.2,33.3,0.0,Bangalore,0.0
295,18-05-1991,29.6,23.4,35.2,0.0,Bangalore,0.0
296,21-05-1991,29.7,23.0,35.1,0.0,Bangalore,0.0
297,25-05-1991,26.8,20.2,33.6,0.0,Bangalore,0.0
298,02-06-1991,27.3,21.9,30.9,0.0,Bangalore,0.0
299,08-06-1991,22.4,20.3,26.6,0.0,Bangalore,0.0
300,12-06-1991,23.2,20.9,27.2,0.0,Bangalore,0.0
301,13-06-1991,25.0,21.6,29.0,0.0,Bangalore,0.0
302,14-06-1991,25.9,21.3,30.6,7.9,Bangalore,10.0
303,15-06-1991,24.3,21.7,31.2,0.5,Bangalore,0.0
304,17-06-1991,23.4,21.0,26.6,0.5,Bangalore,0.0
305,22-06-1991,24.7,20.1,29.6,10.9,Bangalore,10.0
306,27-06-1991,22.5,19.5,26.6,3.3,Bangalore,0.0
307,28-06-1991,22.2,19.7,26.9,0.5,Bangalore,0.0
308,29-06-1991,24.2,20.3,27.9,0.0,Bangalore,0.0
309,01-07-1991,22.4,19.4,26.4,0.0,Bangalore,0.0
310,02-07-1991,24.2,19.3,29.0,0.0,Bangalore,0.0
311,04-07-1991,22.8,20.2,26.3,0.0,Bangalore,0.0
312,06-07-1991,21.8,19.9,26.8,10.9,Bangalore,10.0
313,07-07-1991,22.4,19.5,25.9,0.0,Bangalore,0.0
314,11-07-1991,21.6,20.1,26.4,0.8,Bangalore,0.0
315,12-07-1991,21.9,19.3,26.6,6.4,Bangalore,10.0
316,13-07-1991,22.8,19.4,28.1,0.0,Bangalore,0.0
317,14-07-1991,22.2,18.3,28.2,0.3,Bangalore,0.0
318,15-07-1991,22.6,19.6,25.6,0.0,Bangalore,0.0
319,16-07-1991,22.3,19.8,26.2,0.5,Bangalore,0.0
320,18-07-1991,22.3,19.1,27.7,0.0,Bangalore,0.0
321,21-07-1991,22.9,19.7,27.6,0.0,Bangalore,0.0
322,22-07-1991,22.8,19.8,28.1,0.5,Bangalore,0.0
323,23-07-1991,23.2,19.5,27.8,0.0,Bangalore,0.0
